ID_REF  VALUE   PLIER
1007_s_at       2.1427689       1.8200897
1053_at 0.6959495       0.64574397
117_at  1.227138        1.1526575
121_at  1.0372175       0.99086773
1255_g_at       1.8907635       1.4250923
1294_at 1.4965736       1.3293964
1316_at 1.7341827       1.2945554
1320_at 1.1188403       1.1753554
1405_i_at       1.9730725       1.8016746
1431_at 0.4053802       0.45867
1438_at 0.8791879       0.8175764
1487_at 0.71195984      0.8832564
1494_f_at       0.8367153       1.0934321
1552256_a_at    0.979389        0.95320165
1552257_a_at    0.878188        0.87846625
1552258_at      0.744836        0.9187114
1552261_at      0.90732104      0.89407384
1552263_at      1.2973621       1.2675513
1552264_a_at    0.32957074      0.4065891
1552266_at      0.949692        1.3006158
1552269_at      0.45545766      0.77329075
1552271_at      0.29271862      0.48897645
1552272_a_at    0.7089395       0.98747677
1552274_at      1.5775057       1.4635738
1552275_s_at    1.4994959       1.4400426
1552276_a_at    0.6812047       1.0113213
1552277_a_at    0.83712405      0.78606945
1552278_a_at    0.628789        1.01166
1552279_a_at    1.167678        1.124592
1552280_at      0.45254755      0.8290897
1552281_at      0.8141717       0.74977213
1552283_s_at    1.3934573       1.2364568
1552286_at      0.62238216      0.87090904
1552287_s_at    1.1314402       1.0909567
1552288_at      0.9286558       0.43280736
1552289_a_at    0.34645504      0.84961456
1552291_at      0.9089972       0.77101976
1552293_at      0.6542302       1.0552236
1552295_a_at    0.5338603       0.62121725
1552296_at      0.73258066      1.0793082
1552299_at      0.5734966       0.51245433
1552301_a_at    0.6627346       0.76690745
1552302_at      2.5293567       1.4172494
1552303_a_at    1.4427493       1.7552236
1552304_at      0.45511428      0.6193582
1552306_at      1.0025272       1.0650676
1552307_a_at    0.4203093       1.0135368
1552309_a_at    0.93019575      1.1380142
1552310_at      1.1609888       1.0261617
1552311_a_at    1.1249185       1.2951739
1552312_a_at    0.344763        0.39602196
1552314_a_at    0.98258173      0.91798264
1552315_at      1.2085016       1.11798
1552316_a_at    1.8856428       1.5865054
1552318_at      1.9818251       1.1404159
1552319_a_at    0.95682 0.70311624
1552320_a_at    1.2511891       1.1519039
1552321_a_at    1.487701        1.0220776
1552322_at      0.52920115      1.1455766
1552323_s_at    1.0301162       0.9289824
1552325_at      1.1213778       1.108329
1552326_a_at    4.4095125       2.4872427
1552327_at      0.78685564      0.84920263
1552329_at      0.93777955      0.9715118
1552330_at      0.71416533      0.79524696
1552332_at      0.7825461       0.99890536
1552334_at      1.6066079       1.5046024
1552335_at      0.38758117      1.379125
1552337_s_at    0.405062        1.1236211
1552338_at      0.31268477      0.07976554
1552340_at      0.4863406       0.72852856
1552343_s_at    1.072872        1.0083631
1552344_s_at    0.35831594      0.43674076
1552347_at      1.1885059       1.0097711
1552348_at      0.9323396       1.104414
1552349_a_at    0.9974195       0.803624
1552354_at      0.79339397      0.650336
1552355_s_at    0.6263503       0.60553306
1552359_at      0.6107253       0.950584
1552360_a_at    1.2356515       1.5439109
1552362_a_at    1.212701        1.2097802
1552364_s_at    1.1598297       1.086851
1552365_at      7.97161 4.662165
1552367_a_at    6.564837        5.086601
1552368_at      0.842413        0.8829622
1552370_at      0.7586298       0.8259177
1552372_at      0.8880763       0.20862834
1552373_s_at    0.71686953      0.59919584
1552375_at      0.90651 0.8527949
1552377_s_at    1.2081712       1.045831
1552378_s_at    1.3613815       0.6911531
1552379_at      0.8647808       0.32942015
1552381_at      0.56786484      0.5265257
1552383_at      1.1844653       1.1661073
1552384_a_at    0.47996467      0.90553564
1552386_at      0.54130954      1.0356499
1552388_at      0.6236403       1.1270977
1552389_at      0.9161789       0.8151482
1552390_a_at    0.8705458       0.5076904
1552391_at      0.93542695      1
1552393_at      0.9888467       0.22575879
1552394_a_at    0.6881341       0.2760846
1552395_at      0.37064505      1.2633363
1552396_at      0.8590931       0.17755441
1552398_a_at    0.8337234       1.294327
1552399_a_at    0.88222164      0.6268646
1552400_a_at    0.71526366      0.7969024
1552401_a_at    0.85812193      1.1189147
1552402_at      1.2383692       1.1066779
1552405_at      0.38286063      0.96317106
1552408_at      0.52880204      1.4340819
1552409_a_at    0.82569695      1.1937479
1552410_at      0.4909467       0.8307994
1552411_at      0.23664373      0.7422057
1552412_a_at    0.6341924       0.862541
1552414_at      0.95565975      1.0993024
1552415_a_at    0.38699704      1.4402194
1552417_a_at    1.1514604       0.97413325
1552418_at      0.48150533      1.1851382
1552419_s_at    0.7744167       1.4593744
1552421_a_at    0.5260181       1.1034136
1552422_at      0.9138254       0.53461593
1552423_at      1.6362828       1.0612816
1552424_at      0.6858028       0.384188
1552425_a_at    0.80940825      1.1008006
1552426_a_at    0.47850254      0.4932024
1552427_at      0.9772248       0.9532224
1552430_at      0.9710156       0.8778654
1552432_at      0.816559        1.109551
1552436_a_at    1.0004902       1.4322984
1552438_a_at    0.99144685      1.0103153
1552439_s_at    2.9462981       2.5660765
1552440_at      0.863614        1.2248924
1552445_a_at    1.0382831       0.7801272
1552448_a_at    1.927338        1.9884621
1552449_a_at    0.49746856      1.1538036
1552450_a_at    0.6337144       0.9292703
1552452_at      0.8146129       0.65375286
1552453_a_at    0.41479906      0.9633829
1552455_at      0.78801835      0.75968164
